name,slug,appearances,goals,nationality,position,isCurrent
Jack Charlton,jack-charlton,773,96,England,Centre-back,false
Billy Bremner,billy-bremner,772,115,Scotland,Midfielder,false
Paul Reaney,paul-reaney,749,5,England,Full-back,false
Norman Hunter,norman-hunter,726,21,England,Centre-back,false
Paul Madeley,paul-madeley,724,34,England,Defender / Midfielder,false
Peter Lorimer,peter-lorimer,705,238,Scotland,Winger / Midfielder,false
Eddie Gray,eddie-gray,579,69,Scotland,Winger,false
Gary Kelly,gary-kelly,531,4,Republic of Ireland,Full-back,false
Johnny Giles,johnny-giles,525,114,Republic of Ireland,Midfielder,false
Trevor Cherry,trevor-cherry,484,31,England,Defender,false
Grenville Hair,grenville-hair,474,2,England,Full-back,false
David Harvey,david-harvey,446,0,Scotland,Goalkeeper,false
John Lukic,john-lukic,430,0,England,Goalkeeper,false
Frank Gray,frank-gray,396,35,Scotland,Full-back / Midfielder,false
Jim Milburn,jim-milburn,384,17,England,Defender,false
David Batty,david-batty,382,4,England,Midfielder,false
Allan Clarke,allan-clarke,364,151,England,Forward,false
Terry Cooper,terry-cooper,351,11,England,Full-back,false
John Charles,john-charles,327,157,Wales,Forward / Centre-back,false
Mick Jones,mick-jones,312,111,England,Forward,false
Gary Speed,gary-speed,311,57,Wales,Midfielder,false
Andy Gray,andy-gray,303,70,Scotland,Midfielder,false
Gary McAllister,gary-mcallister,294,45,Scotland,Midfielder,false
Ian Harte,ian-harte,288,39,Republic of Ireland,Full-back,false
Liam Cooper,liam-cooper,284,11,Scotland,Centre-back,false
Nigel Martyn,nigel-martyn,273,0,England,Goalkeeper,false
Luke Ayling,luke-ayling,268,11,England,Full-back,false
Stuart Dallas,stuart-dallas,267,28,Northern Ireland,Midfielder / Full-back,false
Lee Bowyer,lee-bowyer,265,55,England,Midfielder,false
Lucas Radebe,lucas-radebe,262,3,South Africa,Centre-back,false
Willie Bell,willie-bell,260,18,Scotland,Full-back,false
Rod Wallace,rod-wallace,257,66,England,Forward,false
David Wetherall,david-wetherall,250,18,England,Centre-back,false
Gordon Strachan,gordon-strachan,244,45,Scotland,Midfielder,false
Harry Kewell,harry-kewell,242,63,Australia,Winger / Forward,false
Chris Fairclough,chris-fairclough,240,23,England,Centre-back,false
Kalvin Phillips,kalvin-phillips,232,14,England,Defensive midfielder,false
Alan Smith,alan-smith,228,56,England,Forward,false
Russell Wainscoat,russell-wainscoat,226,93,England,Forward,false
Jonny Howson,jonny-howson,225,29,England,Midfielder,false
Arthur Graham,arthur-graham,223,47,Scotland,Winger,false
Luciano Becchio,luciano-becchio,221,86,Argentina,Forward,false
Mervyn Day,mervyn-day,221,0,England,Goalkeeper,false
Illan Meslier,illan-meslier,214,0,France,Goalkeeper,false
Tony Dorigo,tony-dorigo,209,6,England,Full-back,false
Patrick Bamford,patrick-bamford,205,60,England,Forward,false
Albert Johanneson,albert-johanneson,200,68,South Africa,Winger,false
Pascal Struijk,pascal-struijk,196,14,Netherlands,Centre-back,false
Mateusz Klich,mateusz-klich,195,24,Poland,Midfielder,false
Robert Snodgrass,robert-snodgrass,189,41,Scotland,Winger / Midfielder,false
Mick Bates,mick-bates,187,9,England,Midfielder,false
Brian Deane,brian-deane,181,44,England,Forward,false
Brian Flynn,brian-flynn,177,10,Wales,Midfielder,false
Pablo Hernández,pablo-hernandez,175,36,Spain,Attacking midfielder,false
Lee Chapman,lee-chapman,173,80,England,Forward,false
Joe Jordan,joe-jordan,170,35,Scotland,Forward,false
Bobby Collins,bobby-collins,167,26,Scotland,Midfielder,false
Mark Viduka,mark-viduka,166,72,Australia,Forward,false
Charlie Keetley,charlie-keetley,160,110,England,Forward,false
Ross McCormack,ross-mccormack,158,58,Scotland,Forward,false
Brendan Ormsby,brendan-ormsby,152,6,England,Centre-back,false
Jermaine Beckford,jermaine-beckford,152,85,England,Forward,false
Wilfried Gnonto,wilfried-gnonto,147,23,Italy,Forward,true
Chris Whyte,chris-whyte,146,3,England,Centre-back,false
Daniel James,daniel-james,144,29,Wales,Winger,true
Jonathan Woodgate,jonathan-woodgate,142,5,England,Centre-back,false
Joe Rodon,joe-rodon,136,3,Wales,Centre-back,true
Ethan Ampadu,ethan-ampadu,126,3,Wales,Defensive midfielder,true
Mel Sterland,mel-sterland,123,13,England,Full-back,false
Carl Shutt,carl-shutt,121,38,England,Forward,false
Joël Piroe,joel-piroe,118,34,Netherlands,Forward,true
Olivier Dacourt,olivier-dacourt,81,3,France,Midfielder,false
Rio Ferdinand,rio-ferdinand,73,3,England,Centre-back,false
Raphinha,raphinha,67,17,Brazil,Winger,false
Michael Bridges,michael-bridges,66,21,England,Forward,false
Tony Yeboah,tony-yeboah,66,32,Ghana,Forward,false
Robbie Keane,robbie-keane,56,19,Republic of Ireland,Forward,false
Vinnie Jones,vinnie-jones,53,5,Wales,Midfielder,false
